CenterLanePathFar
364
0.00003,0.005,0.500,50.000,0.000,0.010,0.000,1.219
0.00013,0.010,0.500,-0.000,0.000,0.010,0.000,1.219
0.00035,0.023,1.250,75.000,0.000,0.010,0.000,1.219
0.00075,0.040,1.750,50.000,0.000,0.010,0.001,1.219
0.00137,0.062,2.250,50.000,0.000,0.010,0.001,1.219
0.00227,0.090,2.750,50.000,0.000,0.010,0.002,1.219
0.00350,0.122,3.250,50.000,0.000,0.010,0.003,1.219
0.00510,0.160,3.750,50.000,0.000,0.010,0.005,1.219
0.00712,0.202,4.250,50.000,0.000,0.010,0.007,1.219
0.00962,0.250,4.750,50.000,0.000,0.010,0.010,1.219
0.01262,0.300,5.000,25.000,0.000,0.010,0.013,1.219
0.01612,0.350,5.000,0.000,0.000,0.010,0.016,1.219
0.02013,0.400,5.000,0.000,0.000,0.010,0.020,1.219
0.02463,0.450,5.000,-0.000,0.000,0.010,0.025,1.219
0.02963,0.500,5.000,0.000,0.000,0.010,0.030,1.219
0.03513,0.550,5.000,-0.000,0.000,0.010,0.035,1.219
0.04113,0.600,5.000,0.000,0.000,0.010,0.041,1.219
0.04763,0.650,5.000,-0.000,0.000,0.010,0.048,1.219
0.05463,0.700,5.000,0.000,0.000,0.010,0.055,1.219
0.06213,0.750,5.000,0.000,0.000,0.010,0.062,1.219
0.07013,0.800,5.000,-0.000,0.000,0.010,0.070,1.219
0.07863,0.850,5.000,0.000,0.000,0.010,0.079,1.219
0.08763,0.900,5.000,-0.000,0.000,0.010,0.088,1.219
0.09713,0.950,5.000,0.000,0.000,0.010,0.097,1.219
0.10713,1.000,5.000,-0.000,0.000,0.010,0.107,1.219
0.11763,1.050,5.000,-0.000,0.000,0.010,0.118,1.219
0.12863,1.100,5.000,-0.000,0.000,0.010,0.129,1.219
0.14012,1.150,5.000,-0.000,0.000,0.010,0.140,1.219
0.15212,1.200,5.000,0.000,0.000,0.010,0.152,1.219
0.16462,1.250,5.000,0.000,0.000,0.010,0.165,1.219
0.17762,1.300,5.000,-0.000,0.000,0.010,0.178,1.219
0.19112,1.350,5.000,0.000,0.000,0.010,0.191,1.219
0.20512,1.400,5.000,0.000,0.000,0.010,0.205,1.219
0.21962,1.450,5.000,-0.000,0.000,0.010,0.220,1.219
0.23462,1.500,5.000,-0.000,0.000,0.010,0.235,1.219
0.25012,1.550,5.000,0.000,0.000,0.010,0.250,1.219
0.26612,1.600,5.000,0.000,0.000,0.010,0.266,1.219
0.28262,1.650,5.000,-0.000,0.000,0.010,0.283,1.219
0.29962,1.700,5.000,0.000,0.000,0.010,0.300,1.219
0.31712,1.750,5.000,-0.000,0.000,0.010,0.317,1.219
0.33512,1.800,5.000,0.000,0.000,0.010,0.335,1.219
0.35363,1.850,5.000,-0.000,0.000,0.010,0.354,1.219
0.37263,1.900,5.000,0.000,0.000,0.010,0.373,1.219
0.39213,1.950,5.000,-0.000,0.000,0.010,0.392,1.219
0.41213,2.000,5.000,0.000,0.000,0.010,0.412,1.219
0.43263,2.050,5.000,-0.000,0.000,0.010,0.433,1.219
0.45363,2.100,5.000,0.000,0.000,0.010,0.454,1.219
0.47513,2.150,5.000,0.000,0.000,0.010,0.475,1.219
0.49713,2.200,5.000,-0.000,0.000,0.010,0.497,1.219
0.51963,2.250,5.000,-0.000,0.000,0.010,0.520,1.219
0.54263,2.300,5.000,0.000,0.000,0.010,0.543,1.219
0.56612,2.350,5.000,0.000,0.000,0.010,0.566,1.219
0.59012,2.400,5.000,0.000,0.000,0.010,0.590,1.219
0.61462,2.450,5.000,-0.000,0.000,0.010,0.615,1.219
0.63962,2.500,5.000,0.000,0.000,0.010,0.640,1.219
0.66512,2.550,5.000,-0.000,0.000,0.010,0.665,1.219
0.69112,2.600,5.000,0.000,0.000,0.010,0.691,1.219
0.71762,2.650,5.000,-0.000,0.000,0.010,0.718,1.219
0.74462,2.700,5.000,0.000,0.000,0.010,0.745,1.219
0.77212,2.750,5.000,-0.000,0.000,0.010,0.772,1.219
0.80012,2.800,5.000,0.000,0.000,0.010,0.800,1.219
0.82862,2.850,5.000,-0.000,0.000,0.010,0.829,1.219
0.85762,2.900,5.000,-0.000,0.000,0.010,0.858,1.219
0.88712,2.950,5.000,0.000,0.000,0.010,0.887,1.219
0.91712,3.000,5.000,0.000,0.000,0.010,0.917,1.219
0.94762,3.050,5.000,-0.000,0.000,0.010,0.948,1.219
0.97862,3.100,5.000,-0.000,0.000,0.010,0.979,1.219
1.01012,3.150,5.000,0.000,0.000,0.010,1.010,1.219
1.04212,3.200,5.000,-0.000,0.000,0.010,1.042,1.219
1.07462,3.250,5.000,0.000,0.000,0.010,1.075,1.219
1.10762,3.300,5.000,-0.000,0.000,0.010,1.108,1.219
1.14112,3.350,5.000,0.000,0.000,0.010,1.141,1.219
1.17512,3.400,5.000,-0.000,0.000,0.010,1.175,1.219
1.20962,3.450,5.000,0.000,0.000,0.010,1.210,1.219
1.24462,3.500,5.000,-0.000,0.000,0.010,1.245,1.219
1.28012,3.550,5.000,0.000,0.000,0.010,1.280,1.219
1.31612,3.600,5.000,-0.000,0.000,0.010,1.316,1.219
1.35262,3.650,5.000,0.000,0.000,0.010,1.353,1.219
1.38962,3.700,5.000,-0.000,0.000,0.010,1.390,1.219
1.42712,3.750,5.000,0.000,0.000,0.010,1.427,1.219
1.46512,3.800,5.000,-0.000,0.000,0.010,1.465,1.219
1.50362,3.850,5.000,0.000,0.000,0.010,1.504,1.219
1.54262,3.900,5.000,-0.000,0.000,0.010,1.543,1.219
1.58212,3.950,5.000,0.000,0.000,0.010,1.582,1.219
1.62212,4.000,5.000,-0.000,0.000,0.010,1.622,1.219
1.66262,4.050,5.000,-0.000,0.000,0.010,1.663,1.219
1.70362,4.100,5.000,0.000,0.000,0.010,1.704,1.219
1.74512,4.150,5.000,-0.000,0.000,0.010,1.745,1.219
1.78712,4.200,5.000,0.000,0.000,0.010,1.787,1.219
1.82962,4.250,5.000,-0.000,0.000,0.010,1.830,1.219
